category,subcate,NAME,UNIDAD,PRECIO,PREC
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Verduras para Arroz con Pollo   
										TOTTUS",Envase x 200g,S/ 7.39,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Rabanito   
										TOTTUS",600g es aprox. 10un,S/ 2.99,"(
      S/ 4.99
    /KG)"
Más Frutas,Frutos Secos y Otros Snacks,"Blueberrie Premium  
										TOTTUS",Envase x 500g,S/ 11.99,
Verduras,"Papas, Camotes y otros Tubérculos","Papa Peruanita Procesada   
										TOTTUS",1.3Kg es aprox. 5un,S/ 7.40,"(
      S/ 5.69
    /KG)"
Mundo Chino,Ver todas,"Cebollita China   
										TOTTUS",Unidad,S/ 1.99,
Más Verduras,Ver Todas,"Habas   
										TOTTUS",Envase 200 Gr,S/ 7.59,
Más Verduras,Hierbas Aromáticas / Infusiones,"Perejil   
										TOTTUS",Unidad,S/ 0.79,
Mundo Chino,Ver todas,"Esparrago Verde  
										LA CASTELLANA",Atado x 250g,S/ 5.59,
Verduras,"Brócoli, Apio y Hortalizas","Vainita Americana   
										TOTTUS",200g es aprox. 1 puñado,S/ 1.20,"(
      S/ 5.99
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Pera Packhams   
										TOTTUS",600g es aprox. 4un,S/ 3.89,"(
      S/ 6.49
    /KG)"
Más Verduras,Ver Todas,"Hierba Buena   
										TOTTUS",Unidad,S/ 1.49,
Más Verduras,Ver Todas,"Verduras para Sopa Mixta  
										TOTTUS",Envase x 300g,S/ 6.49,
Verduras,"Brócoli, Apio y Hortalizas","Beterraga  
										TOTTUS",El atado contiene x 4un,S/ 2.29,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Ajos Pelados  
										TOTTUS",Envase x 250g,S/ 9.89,
Verduras,"Choclos, Tomates y Lechugas","Tomate Italiano Selecto  
										TOTTUS",1Kg es aprox. 8un,S/ 3.49,"(
      S/ 3.49
    /KG)"
Verduras,Ver Todas,"Aji Amarillo  
										TOTTUS",100g es aprox. 2un,S/ 0.48,"(
      S/ 4.79
    /KG)"
Más Verduras,Ver Todas,"Ajos Pelados  
										TOTTUS",Envase x 250g,S/ 9.89,
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Olluquito  
										TOTTUS",Envase x 50g,S/ 7.99,
Más Verduras,Hierbas Aromáticas / Infusiones,"Huacatay   
										TOTTUS",Unidad,S/ 1.59,
Mundo Chino,Verdura China,"Kión   
										TOTTUS",Granel,S/ 1.60,"(
      S/ 7.99
    /KG)"
Mundo Chino,Ver todas,"Cebolla Roja  
										TOTTUS",1Kg es aprox. 4un,S/ 1.49,"(
      S/ 1.49
    /KG)"
Verduras,"Cebollas, Ajos y otros Básicos","Cebollita China   
										LINEA VERDE",Atado x 300g,S/ 4.79,
Frutas,"Limones, Naranjas y otros Cítricos","Limón Sutil Extra  
										TOTTUS",460g es aprox. 15un,S/ 1.15,"(
      S/ 2.49
    /KG)
    
    (
      S/ 1.00
    /LT)"
Verduras,"Papas, Camotes y otros Tubérculos","Papa Amarilla Procesada   
										TOTTUS",1Kg es aprox. 4un,S/ 4.99,"(
      S/ 4.99
    /KG)"
Mundo Chino,Ver todas,"Pimiento Morron   
										TOTTUS",300g es aprox. 2un,S/ 1.80,"(
      S/ 5.99
    /KG)"
Más Verduras,Hierbas Aromáticas / Infusiones,"Hierba Luisa   
										TOTTUS",Unidad,S/ 1.19,
Verduras,"Papas, Camotes y otros Tubérculos","Papa Rosada Canchán Procesada  
										TOTTUS",1.5Kg es aprox. 4un,S/ 3.88,"(
      S/ 2.59
    /KG)"
Mundo Chino,Masa Wantan y Otros,"Fideos Chinos  
										LA PASTA",Bolsa x 500g,S/ 3.39,
Mundo Chino,Verdura China,"Brocoli  
										TOTTUS",600g es aprox. 1un,S/ 2.99,"(
      S/ 4.99
    /KG)"
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Arveja Americana   
										TOTTUS",Granel,S/ 0.60,"(
      S/ 5.99
    /KG)"
Más Verduras,Ensaladas y Verduras Empacadas / Picadas,"Verduras para Sopa Mixta  
										TOTTUS",Envase x 300g,S/ 6.49,
Verduras,"Brócoli, Apio y Hortalizas","Zanahoria   
										TOTTUS",1Kg es aprox. 4un,S/ 1.99,"(
      S/ 1.99
    /KG)"
Frutas,"Manzanas, Plátanos y otros Básicos","Manzana Royal Gala Importada   
										TOTTUS",1Kg es aprox. 7un,S/ 6.99,"(
      S/ 6.99
    /KG)"
Mundo Chino,Masa Wantan y Otros,"Pasta Wantan   
										SAN SEN",Bolsa x 500g,S/ 2.99,
Verduras,"Cebollas, Ajos y otros Básicos","Rocoto   
										TOTTUS",Unidad,S/ 1.89,
Más Frutas,Frutas importadas,"Manzana Royal Gala Importada   
										TOTTUS",1Kg es aprox. 7un,S/ 6.99,"(
      S/ 6.99
    /KG)"
Mundo Chino,Verdura China,"Champiñon Entero  
										TOTTUS",Envase x 200g,S/ 4.99,
Verduras,Ver Todas,"Tomate Italiano Selecto  
										TOTTUS",1Kg es aprox. 8un,S/ 3.49,"(
      S/ 3.49
    /KG)"
Frutas,"Limones, Naranjas y otros Cítricos","Toronja Rosada   
										TOTTUS",400g es aprox. 1un,S/ 1.60,"(
      S/ 3.99
    /KG)"
Mundo Chino,Masa Wantan y Otros,"Fideos Chinos  
										LA PASTA",Bolsa x 1Kg,S/ 5.89,
Verduras,"Brócoli, Apio y Hortalizas","Zapallo Macre   
										TOTTUS",Granel,S/ 3.49,"(
      S/ 3.49
    /KG)"
Verduras,"Brócoli, Apio y Hortalizas","Pepinillo   
										TOTTUS",500g es aprox. 1un,S/ 1.84,"(
      S/ 3.69
    /KG)"
Frutas,"Papayas, Piñas y Tropicales","Melón Coquito   
										TOTTUS",1.5Kg es aprox. 1un,S/ 6.44,"(
      S/ 4.29
    /KG)"
Verduras,"Choclos, Tomates y Lechugas","Lechuga Roja  
										LINEA VERDE",Bolsa x 200g,S/ 5.29,
